Joints,Name,X/Y/Z-axis,Features,PC2,Unnamed: 5,PC5,Unnamed: 7,PC8,Unnamed: 9,PC9,Unnamed: 11,PC11,Unnamed: 13,PC19,Unnamed: 15,PC24,Unnamed: 17,PC26,Unnamed: 19,PC28,Unnamed: 21,PC29,Unnamed: 23,PC31,Unnamed: 25,PC35,Unnamed: 27,PC39,Unnamed: 29,PC41,Unnamed: 31,PC46,Unnamed: 33,PC70,Unnamed: 35,PC77,Unnamed: 37
,,,,r,P-Value,r,P-Value,r,P-Value,r,P-Value,r,P-Value,r,P-Value,r,P-Value,r,P-Value,r,P-Value,r,P-Value,r,P-Value,r,P-Value,r,P-Value,r,P-Value,r,P-Value,r,P-Value,r,P-Value
joint1,Head,X,Mean,0.649772205921166,5.11877558583298e-31,-0.278900901095987,8.60117373504775e-06,0.318144626715218,3.25572816620882e-07,-0.0633163159027252,0.32166550986522,0.0550158842534555,0.38928828698135,-0.0225119197576994,0.724798866419685,-0.0753125454733432,0.238278293017155,0.0905308789135642,0.156044369153258,-0.0605802403137894,0.343060835624582,-0.060841590368144,0.340978960858093,-0.0230756909710526,0.718195595484018,0.07516155904789,0.239223391183227,0.0469090595765681,0.463010781751745,0.0655916006593335,0.304547647735015,-0.043165262040126,0.49950489559986,-0.0628023705843639,0.325616923001567,0.00716218423512427,0.910828943108926
joint1,Head,X,StandardDeviation,0.453579192157924,6.15947013176919e-14,0.251936870690116,6.22296312093873e-05,-0.100863141298611,0.113836294076121,0.0682628487345113,0.285231962708671,0.101051223905799,0.113160442070657,-0.0861328651021202,0.177232117422693,-0.204498732035462,0.00122983358663208,0.0317157562684891,0.619860101995773,-0.0404465444089928,0.526928357299729,0.0580552128150144,0.363588978121712,0.0404804088570742,0.526582132265849,0.0231770850181958,0.717010199178483,0.0380809884369187,0.551395732283993,0.0343076426749779,0.591537119503881,0.0318112066242267,0.618806702270865,-0.0511284949941344,0.423713850380809,-0.00659885340245543,0.91781679948251
joint1,Head,X,Skewness,0.222409558957542,0.00042842650589073,-0.218373288609101,0.000547431446739339,-0.0899560042529857,0.158700007401231,-0.0753437322148314,0.238083406771945,0.226768274894498,0.000327166261426516,-0.0379295007489837,0.552981303886132,-0.000650693120364558,0.991882006202201,0.0426260057111454,0.504883781189908,-0.0942848739473199,0.1395202205116,0.0697394117595577,0.274916171068875,0.0816503141746719,0.200945485047395,-0.0640646384134606,0.315967985728435,-0.225304379033473,0.000358384957940888,-0.0483658135402196,0.449220254765253,0.00985823793719774,0.877489727573998,-0.0217155436935313,0.734161230246789,0.0596650378184936,0.350414661799011
joint1,Head,X,Kurtosis,-0.15820450133174,0.0127935803000649,-0.0515092081796795,0.420266174490849,-0.204046419429556,0.00126163569684882,0.0126221012765025,0.84353526261069,-0.0890722947431578,0.162848410595372,9.85652377872729e-05,0.99877028760586,0.0960006820640978,0.132428744728976,0.154468150735261,0.0151011085372104,-0.0301558812191363,0.637183704924591,0.0498774727686935,0.435158065636526,-0.0497801660114519,0.436055586971481,-0.0489903375124175,0.443379806711222,0.0329307120084458,0.606510250218452,0.0479547108147158,0.453088375141519,0.0121102667959871,0.849803400356283,-0.0267410155450054,0.675792840426636,-0.0202090953415598,0.751978184110178
joint1,Head,Y,Mean,0.527074015951609,4.63030540749525e-19,0.456052832056516,4.32850988800434e-14,-0.0550488688431102,0.389003617401568,-0.270796870690785,1.59445740025045e-05,-0.0608566764979024,0.340859033017496,0.0828345004515212,0.194468292555794,-0.0311002902308999,0.62667100278644,0.0863177283087107,0.176300678548954,0.10912288563805,0.0870044056479244,-0.0548328926928204,0.390869860739005,-0.131927117048865,0.0382706009700068,-0.0542473998576341,0.395956204115635,-0.11983235731045,0.0600342533518891,-0.0802908042957811,0.208572891251038,0.000727034569556202,0.990929615203863,-0.0109816389748193,0.863657889604491,0.016393656432661,0.797675312113127
joint1,Head,Y,StandardDeviation,-0.102840146786961,0.106888202666476,-0.0415812112863299,0.515390923973948,0.0395953920669776,0.535668170461586,0.0985212692061659,0.122518493465187,0.121507939141664,0.0565164093755375,-0.0027613661625158,0.965559468567547,-0.0572733345590986,0.370097281073081,0.118145527226612,0.0637560424650951,0.0132781450377227,0.835515511146994,-0.00958109821538158,0.880907893794148,0.152501545556061,0.0164561311021952,0.0329526783084998,0.606270065364496,-0.0575307689336521,0.367946515650278,-0.0217130553860828,0.734190545794496,0.0430857913761937,0.50029568194695,0.0035675187865628,0.955514097698406,0.0107720377763977,0.866235578766403
joint1,Head,Y,Skewness,0.197381649403172,0.00182649896700349,-0.00673959722669548,0.916070325317969,-0.21755446324480399,0.000575033655707533,-0.275487949955102,1.11810889901616e-05,0.202414127609372,0.00138278021137842,0.0636825376560793,0.31886891886784,0.00891420035619041,0.889142154230765,-0.0334025034271414,0.601360897995822,0.141103099400255,0.0265912380799997,0.110771746885879,0.0823105005996324,-0.0620019114578975,0.331833374711728,-0.0138623631016649,0.828388039441165,0.112623969017775,0.0772833388967956,0.0476352085477414,0.456107475705524,-0.130807342166424,0.0399558538874456,-0.00830094236567851,0.896724644959953,0.0192334861308192,0.763588004625993
joint1,Head,Y,Kurtosis,-0.00300912298595919,0.962471548598631,0.151258796009009,0.0173661182644673,0.0865607070868948,0.175081945317984,0.0122277277207357,0.84836407563773,-0.162639734301066,0.0104615913941071,0.0439710314256362,0.491524343216128,0.0990830923328462,0.120390117568113,-0.117381924750432,0.0655020515487905,-0.127522983317212,0.0452636133991134,0.0307918638859491,0.63009611073036,-0.0111522845335714,0.861560342772266,-0.0201708170200728,0.752432668416158,0.136875573099918,0.0315245812175236,0.0330981432780903,0.604680584373781,0.039128183652829,0.540496227303556,0.0116413966989814,0.855553681005074,0.00121115720730655,0.984890340951631
joint1,Head,Z,Mean,-0.151062989544182,0.0175134236939008,0.384952488445592,3.79322964560377e-10,0.0604676146686794,0.343960478053748,9.91580095410363e-05,0.998762892116242,-0.230628880271879,0.000256546172987922,-0.0306957353220821,0.631165250824115,0.0357474725551913,0.576063075714481,-0.0149844202780326,0.814738712480363,-0.0593385678425834,0.353061776253091,0.0892980424537322,0.161781031304631,-0.0735986197739393,0.249161148875916,-0.0463832820590411,0.468045125753213,-0.0780429057763948,0.221638135777345,0.0488739716431168,0.444464761402349,-0.0205946988535364,0.747404646447502,0.00133672178051587,0.983324089933313,0.0176191920287555,0.782913611354077
